Cruiser E ,,,,,,,,
"Wednesday, Thursday, Friday, Saturday 11:00 PM Ð 3:30 AM",,,,,,,,
1,Bookstore,11:00 PM,11:40 PM,12:20 PM,1:00 AM,1:40 AM,2:20 AM,3:00 AM
2,Townhouses,11:05 PM,11:45 PM,12:25 PM,1:05 AM,1:45 AM,2:25 AM,3:05 AM
3,Cutten Hall,11:08 PM,11:48 PM,12:28 PM,1:08 AM,1:48 AM,2:28 AM,3:08 AM
4,Perrson Hall,11:14 PM,11:54 PM,12:34 PM,1:14 AM,1:54 AM,2:34 AM,3:14 AM
5,Frank Dining Hall ,11:17 PM,11:57 PM,12:37 PM,1:17 AM,1:57 AM,2:37 AM,3:17 AM
6,Perrson Hall,11:19 PM,11:59 PM,12:39 PM,1:19 AM,1:59 AM,2:39 AM,3:19 AM
7,University Ct./Burch,11:25 PM,12:05 PM,12:45 PM,1:25 AM,2:05 AM,2:45 AM,3:25 AM
8,Parker Apartments,11:27 PM,12:07 PM,12:47 PM,1:27 AM,2:07 AM,2:47 AM,3:27 AM
10-Sep,Newell Apartments,11:30 PM,12:10 PM,12:50 PM,1:30 AM,2:10 AM,2:50 AM,3:30 AM
